,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
12,optimization techniques for queries with expensive methods acm trans . database syst . 1998,j hellerstein,,,"the matrix decomposition o val matlab , o scaffli",,,1993.0 ��,0
13,efficient materialization and use of views in data warehouses 1999,"m souza , m sampaio",sigmod record,,natural language modeling and data analytic tools for data management,"kep, s krupi",��,1995.0 ��,0
14,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001.0,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2009.0 ��,0
15,parallel database systems in the 1990 's m carey 1994,,sigmod conference,,"database monitoring as part of a distributed system management system m mihd , c jeff , r kevin , m prunney , x prunney-system,",,,1991.0 𒌇.,0
16,"semantics for update rule programs and implementations in a relational database management system l raschid , j lobo 1996",,acm trans . database syst .,,a comprehensive review of human knowledge of natural language processing for language processing applications,j makrof,,,0
17,index configuration in object-oriented databases 1994,e bertino,vldb j.,,implementation of index-related features .,h gbud,,2002.0 ��,0
18,vxmlr : a visual xml-relational database system vldb,"a zhou , h lu , s zheng , y liang , l zhang , w ji , z tian",,2001.0,vxplore : a data format conversion system vldb,"a zheng , h liang , s liang , y liang , l liang , w liang , x ji , z tian",,2001.0 𐸊,0
19,advances in real-time database systems research sigmod record,a bestavros,,1996.0,a real-time database system research sigmod record,"d nijvels , r nyvind",,1998.,0
20,extracting large data sets using db2 parallel edition vldb 1996,s padmanabhan,,,extracting large data sets using db2 parallel edition vldb 1996,"w wchl , j ryerson COR 1991.0 ��",,,0
21,"discovery of multiple-level association rules from large databases j han , y fu 1995",,vldb,,"a very large database implementation, for large databases v ldb , 1994.0","chad, hannes, dj harrison",,��col author,0
22,editor 's notes sigmod record,m franklin,,2000.0,notes for journal journal journals,,,1998.0 ��,0
23,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,compression for sparse-structured data s li kukunii vldb,,,galitarian,0
24,information director 's message,,,2000.0,"information director's message acm transaction ONLY, data management","l wang , s padamanabhan , js vitter , rxpl",,1994.0 ��,0
25,indexing multimedia databases ( tutorial ) 1995,,,,an algorithm applied to non-video relational databases s kharvi,,,1997.0,0
26,"constructing the next 100 database management systems a geppert , k dittrich",,sigmod record,1994.0,planning in a database of information resources from a database of knowledge,,,1996.0 �,0
27,editor 's notes l liu 2002,,sigmod record,,"editor comments with comment format l muv 's notes , ' liu ' 1999",,,��,0
28,efficient index structures for string databases vldb,"t kahveci , a singh",,2001.0,"efficient index structures for-text databases and user-specified metadata ,",,,identlycols:a col_fields:a col_fields:c col_fields:,0
29,genesys : a system for efficient spatial query processing sigmod conference 1994,"t brinkhoff , h kriegel , r schneider , b seeger",,,"genesys for human, data, and other processes of data generation","k kohner , r ottwohl , d s ottwohl",,____,0
30,the semantic web : semantics for data on the web 2003,,,,the modular web : semantics for data on the modular web 2003,,,ilogyCONST,0
31,data compression in oracle 2003,"m pіss , d potapov",vldb,,data compression in oracle 2002,w zeghen,,2003.0 𠍁 . [,0
32,the mariposa distributed database management system sigmod record,j sidell,,1996.0,the mariposa distributed databases management system : issues and approaches,n kronz,,𐭒�ັஸ஋,0
33,query unnesting in object-oriented databases sigmod conference,l fegaras,,1998.0,query nornesting in database-friendly relational databases sigmod conference,l fegaras,,"1999.0 𐧘撃公於於 𐧘字行月版, 𐧐得了地, 𐧘沃公於於 𐧘字行有版",0
34,odmg-93 : a standard for object-oriented dbmss r cattell 1994,,sigmod conference,,"vmcs conference of a dbmss conference, 1997",,,"––––––– ""Dont be afraid to use any other tool""",0
35,"a taxonomy for secure object-oriented databases m olivier , s solms 1994",,acm trans . database syst .,,support vector representation m s bergamaschi,,sigmod conferences,1988.0 �,0
36,approximate query translation across heterogeneous information sources vldb,"k chang , h garcia-molina",,2000.0,specifying the format of the search result for an item in,,,2004.0 GENERATOR BYS S ossifa,0
37,"unisql 's next-generation object-relational database management system a d'andrea , p janus sigmod record",,,1996.0,"unisql 's NEXT-GENERAL database management system b d'andrea , t janus sigmod record",,,1996.0 ��,0
38,introduction ( special issue on multimedia databases ) 1998,"m жzsu , s christodoulakis",vldb j.,,introduction ( special issue on multimedia databases ) 1999,"jeffrey , J ukulovich , u lučkovi",,【CENTRAL CONTENT】,0
39,a foundation for multi-dimensional databases vldb 1997,"m gyssens , l lakshmanan",,,a foundation for multi-dimensional databases vldb 1997,"m gyssens , l lakshmanan",,༼ to use it ༼ ༼ to use it ༼ ༼ to use it ༼ ༼ to use it ༼ ༼ to use it ༼ ༼ to use it ༼ ༼ to use it ༼ ༼ to use it ༼ ༼ to use it �,0
40,"watermarking relational databases r agrawal , j kiernan",,vldb,2002.0,database systems R R risper CRR vllml,,,1994.0,0
41,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance a hosking , j chen 1999",,vldb,,"pm3 : apartheid to the standards of the world a hosking , thys johnsen",,,ilateration . __________________,0
42,index configuration in object-oriented databases 1994,e bertino,vldb j.,,,"katiklama , u tepuyma , t yaventiu",YEAR,1995.0 ��,0
43,open object database management systems,,,1994.0,l open object database management systems,,,1994.0 ��,0
44,wsq/dsq : a practical approach for combined querying of databases and the web sigmod conference 2000,"r goldman , j widom",,,for an active query in wsq databases,"j dr jr , ca sse",,��,0
45,integrating a structured-text retrieval system with an object-oriented database system 1994,"t yan , j annevelink",vldb,,"integration of structured documents with database systems : how will they interact ? ieee computer ,","t jyborkk , p valduriez",,𐿹𐿹國 最 ༼見不死者最 ༼見見不死者最 ༼見不死者最 ༼見不死者最 ༼見見不死者最 ༼見不死者最 ༼見不死者最 ༼見,0
46,"managing uncertainty in sensor database r cheng , s prabhakar sigmod record",,,2003.0,"management of uncertainty in sensor database r cheng , s prabhakar",,,��,0
47,"the microsoft database research group d lomet , r barga , s chaudhuri , p larson , v narasayya",,sigmod record,1998.0,"a microsoft database science group s rb , nj kumar",,"acm transactions on database systems ,",_.,0
48,database research at nthu and itri a chen 1994,,sigmod record,,object-oriented Database,g chankew,,1991.0 ��,0
49,"oracle media server : providing consumer based interactive access to multimedia data a laursen , j olkin , m porter 1994",,sigmod conference,,information storage based systems j sienhaut,,,"The open, peer-reviewed publication by Mairie Alvarado of Uppsala, Sweden, that explores the potential of open,",0
50,"scalable parallel data mining for association rules e han , g karypis , v kumar 1997",,sigmod conference,,an implementation of the aarchical parallel databases . in : proc . of the 1997 acm sigmod js park,,,1997.0 ________________________2 . abstract abstract from the eacm symposium on use of .,0
51,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb,2002.0,an efficient approach to re-tree the data,"tjj , tj johan",,2001.0,0
52,"the ccube constraint object-oriented database system a brodsky , v segal , j chen , p exarkhopoulo",,sigmod conference,1999.0,"captioning constraints in object-oriented databases m olivier , s von solms",,"ILU 2003,3",2003.0 ��,0
53,"processing sliding window multi-joins in continuous queries over data streams l golab , m жzsu",,vldb,2003.0,object-oriented programming,,ncval 2012.0 ��,��,0
54,user-cognizant multidimensional analysis vldb j.,s sarawagi,,2001.0,User's Coding Standards in Python (VLC) for data manipulation,t gaiverna,,��_MARKET,0
55,"storage estimation for multidimensional aggregates in the presence of hierarchies a shukla , p deshpande , j naughton , k ramasamy vldb",,,1996.0,object databases in a single program a vldb,"j secklen, m tj , a cwann",,1995.0 olance,0
56,dwms : data warehouse management system n mohan 1996,,vldb,,dwls,,,orate,0
57,editor 's notes m franklin 1998,,sigmod record,,srivastava,,,��,0
58,"maintaining data privacy in association rule mining s rizvi , j haritsa vldb",,,2002.0,"udta , associated data management systems s kadkar",,,2002.0 ��,0
59,text databases : a survey of text models and systems a loeffen sigmod record,,,1994.0,text model statistics for relational applications,,,1994.0 ��,0
60,"on the computation of multidimensional aggregates s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi vldb 1996",,,,"on the computation of multidimensional aggregates s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi vldb 1991",,,qqa2001-02,0
61,updates for structure indexes,"r kaushik , p bohannon , j naughton , p shenoy",vldb,2002.0,"updates for structure indexes for structure indexes y kavana , p kvdeal",,,1995.0,0
62,integration of data mining with database technology vldb 2000,"a netz , s chaudhuri , j bernhardt , u fayyad",,,integration of data mining with database technology,t fayyad,,galitarianCORE1,0
63,"incremental maintenance of externally materialized views m staudt , m jarke vldb 1996",,,,"user experience estimation in human-computer interaction,",,��,g stmwn,0
64,a framework for change diagnosis of data streams sigmod conference,c aggarwal,,2003.0,new fields index on the u,,,ilateration,0
65,an introduction to spatial database systems vldb j. 1994,r gќting,,,general purpose software design FORUF .,,,1995.0 ��,0
66,high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson",sigmod conference,1997.0,low/high-performance reading on networks of workstations,"tsu , trinik , d lopez IND author",sigmod conference,1997.0 ��1,0
67,supporting exceptions to schema consistency to ease schema evolution in oodbms vldb,"e amiel , m bellosta , e dujardin , e simon",,1994.0,supporting exception mapping,esprek,,1997.0,0
68,"title , foreword 1994",,,,title for linking associations,,,��,0
69,"database research at the university of illinois at urbana-champaign m winslett , k chang , a doan , j han , c zhai , y zhou sigmod record 2002",,,,"in situ data management for computer aided design sigmod document , 2009",,,,0
70,guest editor 's introduction,,,2002.0,a general practice for query optimization of a set of documents with a,"c werdharin , b chazari",,1989.0 ��,0
71,reminiscences on influential papers,,,2003.0,re 's message,"edwards , jedwards , l lass, lea jharnock",conference on high throughput & time horizons alfa dewitt,2004.0 ��,0
72,dwms : data warehouse management system n mohan 1996,,vldb,,"numpy tables for numpy data n mohan , m jr","m dl , d ef",,–––––Â––––––Â––––––––Â–––Â–––Â–––Â–––Â–––––Â–––Â–––Â–––Â–––,0
73,"on the computation of multidimensional aggregates s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi vldb 1996",,,,"r tkam , d xiagun , p alvage",,,1998.0 𐌸 𐌸 𐌸 𐌸 𐌸,0
74,"constructing the next 100 database management systems a geppert , k dittrich",,sigmod record,1994.0,building the next 100 database management systems a c c blakeley,,,��,0
75,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0,mpeg-7 and multimedia database system,,,ɢo8,0
76,the algres testbed of chimera : an active object-oriented database system 1995,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,,the trigs Editorial Database SYSTEM v l thiemann,s d,,1991.0 ��,0
77,distributed query evaluation on semistructured data d suciu acm trans . database syst . 2002,,,,distributed query evaluation on semistructured data z t luv . 2005,,,orate,0
78,"a data model and data structures for moving objects databases l forlizzi , r gќting , e nardelli , m schneider",,sigmod conference,2000.0,kalikari database and structured matrix for associating data sources,s sokhodan,,_______________________________,0
79,"optimizing disjunctive queries with expensive predicates a kemper , g moerkotte , k peithner , m steinbrunn 1994",,sigmod conference,,"optimizing predicates with expensive predicates b bryor , v krach , c malki",c valki,,1998.0,0
80,"efficient and extensible algorithms for multi query optimization p roy , s seshadri , s sudarshan , s bhobe",,sigmod conference,2000.0,author identification and,,,2.7 ��,0
81,optimizing queries across diverse data sources vldb 1997,"l haas , d kossmann , e wimmers , j yang",,,optimization of non-linear linear or non-interpretable functions in linear analysis,"p han , m yannakakis , k tan, x m chichavez","t naar, m nyan , f jade",_. _ = l m,0
82,call for book reviews,,,2003.0,the nth edition of the history of history,,,��OCRADETITLECHARACTER,0
83,query unnesting in object-oriented databases sigmod conference,l fegaras,,1998.0,query the query of a database,"r mcclincolene, f dorecol",,�� . authors,0
84,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,the x-tree : the x-tree of unordered and ordered data,"shayiras, a. 2000",,��,0
85,book review column sigmod record,k aberer,,2001.0,authors describing book reviews,j kalindez,,galitarian,0
86,"investigation of algebraic query optimisation techniques for database programming languages a poulovassilis , c small vldb",,,1994.0,linear (binary) data transformation strategy for data sets,j bakr,,1999.0 ��,0
87,"proceedings of the 2002 acm sigmod international conference on management of data , madison , wisconsin , june 3-6 , 2002 2002",,,,public/secured data access in acm subprojects m ekharov s n .,,,________________CENTURIAN.BELAROCEDIAN,0
88,editor 's notes l liu 2002,,sigmod record,,zmiker 2003,,,𞌌有糩日 ��,0
89,the prototype of the dare system 2001,"t catarci , g santucci",sigmod conference,,prototype of the Dare system,,,𨹕僧,0
90,"deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis n krivokapic , a kemper , e gudes",,vldb j.,1999.0,"deadlock detection in distributed database systems : qos a n krivokapic , a kemper , e gudes",,vldb j.,1999.0  AUTHOR(s),0
91,"metadata for digital media : introduction to the special issue w klas , a sheth sigmod record 1994",,,,metadata for digital media: introduction to the special issue w g klas,,,,0
92,an overview of db2 parallel edition,"c baru , g fecteau , a goyal , h hsiao , a jhingran , s padmanabhan , w wilson",sigmod conference,1995.0,formal query languages for secure relational databases acm trans . database syst .,"v dharran , q udharran , g roger",,oratecol,0
93,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997.0,"json-formatter for object-oriented formats (object formatters) e john lomme , e hart , u kalas",,,orateCODES0,0
94,"a taxonomy for secure object-oriented databases m olivier , s solms 1994",,acm trans . database syst .,,"a taxonomy for secure object-oriented databases m olivier , s Solms 1994",,acm trans . databases syst .,qqa,0
95,"selectivity estimation for spatio-temporal queries to moving objects y choi , c chung sigmod conference 2002",,,,"selectivity evaluation for spatio-temporal queries to moving objects o lihan , m jiang sehnyon , m korea",,,��,0
96,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,hashing table in large databases com j,,,galitarian,0
97,"thщmis : a database programming language handling integrity constraints v benzaken , a doucet vldb j.",,,1995.0,"constraints for thщmis and thщmis data processing languages v d uchida , b j.",,,1995.0 ��,0
98,parametric query optimization vldb j. 1997,"y ioannidis , r ng , k shim , t sellis",,,parametric query optimization vldb j. 1997,"r hk , mr , j , s siacol",,1998.0 𢌟:D:F:S:O:s:,0
99,"cost-based selection of path expression processing algorithms in object-oriented databases g gardarin , j gruser , z tang 1996",,vldb,,binutils ' a system for managing binary data with binutils ',k mrocks,,loydj,0
100,efficiently publishing relational data as xml documents vldb j.,"j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald",,2001.0,efficient publishing of relational information as binary data m ��.,m mwok,,2001 .0 ��,0
101,"constructing the next 100 database management systems a geppert , k dittrich",,sigmod record,1994.0,"constructing the next 100 database management systems a phan , r mitt",,YEAR,1994.0 ��,0
102,some issues in design of distributed deductive databases vldb 1994,"m mohania , n sarda",,,"model of multivariate data processing, including a model of distributed computing (with shared inputs ), as applied in this paper",v krishnaprasad,,2005.0 ��,0
103,temporal database system implementations m bіhlen sigmod record,,,1995.0,temporal databases m bіhlen,,,1997.0 noxious,0
104,a user-centered interface for querying distributed multimedia databases sigmod conference 1999,"i cruz , k james",,,an easy,"i hanneman , m yanneman",,_______________________,0
105,"generalized search trees for database systems j hellerstein , j naughton , a pfeffer",,vldb,1995.0,a system in which data can easily be organized and aggregated for each column or table,,,1985,0
106,answering complex sql queries using automatic summary tables sigmod conference,"m zaharioudakis , r cochrane , g lapis , h pirahesh , m urata",,2000.0,answering complex queries using automatic summary tables [ bb ],"r sfikant , r agrawal","proceedings of the alts-Sigmod conference on management of & hellip ; ,",________________  ...................[1..7],0
107,"structures for manipulating proposed updates in object-oriented databases m doherty , r hull , m rupawalla sigmod conference",,,1996.0,object-oriented databases with structured input,,,1997.0 𐒗凵中文,0
108,implementing database operations using simd instructions sigmod conference,"j zhou , k ross",,2002.0,the tmpl library for using data.tompl and tmpl_data,t mmelda,,1999.0 ��0,0
109,"generalized search trees for database systems j hellerstein , j naughton , a pfeffer",,vldb,1995.0,efficient efficient searching for relational data,,"information software and database systems,",1975.0,0
110,open object database management systems,,,1994.0,"open object database management systems on a multi-computer computer m sinutko , t shakay , s sakay",,,qqa0,0
111,"proceedings of the 2002 acm sigmod international conference on management of data , madison , wisconsin , june 3-6 , 2002 2002",,,,"conference of the scientific community : data management of human networks, connexions, & data sets . CONX COAJCO j COAICA cols USA v lw j COBJCO cols ALA",,,1974.0,0
112,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,communicating efficiency in distributed mining of association rules sigmod conference,"r zhiwei , u iwuh",,iversal0,0
113,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,,,,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2008,,,𔍇�� caption of a report sent to a high-ranking conference on data warehousing and olap ( dolap 2001 ) 2009,0
114,report on the first international workshop an efficient web-based information systems,,,2003.0,a modular and open database system d ewle,,sigmod conference,2001.0 ��,0
115,implementation of magic-sets in a relational database system 1994,"i mumick , h pirahesh",sigmod conference,,"zhang , shuan","jyung , m rohan",,��,0
116,algebraic query optimisation for database programming languages vldb j. 1996,"a poulovassilis , c small",,,associative linear or modular database management for structured data storage colu . 2003,"k lukel ,",,1993.0 ��,0
117,guest editor 's introduction,,,1998.0,"andm . to . schema: object-oriented database management systems s chengong , j zhang, t hong , j jin , b jinman",,,��0,0
118,"one-dimensional and multi-dimensional substring selectivity estimation h jagadish , o kapitskaia , r ng , d srivastava",,vldb j.,2000.0,"non-recursive type comparison modeling on a two-dimensional table b ooi , j ogkin , s khan , w ji , y li",,,1995.0 ��,0
119,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997.0,"unico data collection tool for relational database operators m nou , w nou , j d",l ralston,,_.NET01001,0
120,"incremental clustering for mining in a data warehousing environment m ester , h kriegel , j sander , m wimmer , x xu vldb 1998",,,,incremental clustering for mining in a data warehousing environment a f fjord,,,��,0
121,editor 's notes m franklin sigmod record 1999,,,,editor's notes m franklin sigmod record 2000,,,_.doc,0
122,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994.0,"the adviate Database System l okawa , a takawa s ue , tikayuki",,,ɖ,0
123,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,revisiting commit processing in distributed source servers . database software .,"p haritsa , j wjäner",,1997.0 𐹔,0
124,"continuous queries over data streams s babu , j widom sigmod record",,,2001.0,"continuous queries over data streams f sikhli , n khalaban , m khurvam SHADMI",,,��,0
125,the algres testbed of chimera : an active object-oriented database system 1995,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,,complete testbed of chimera : an,,,󾿇,0
126,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,associative data,,,2002.0 galitarian,0
127,odefs : a file system interface to an object-oriented database vldb 1994,"n gehani , h jagadish , w roome",,,data from an odefs datacred table and table-list vlc1994,"m hai , lui hai",,��CONSEND_LANGUAGE_IDEA_CODE,0
128,editor 's notes jennifer widom sigmod record,,,1996.0,"editor 's notes from a document vlennela eldar , m bran",,,1996.0 galitarian,0
129,an orthogonally persistent java 1996,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,,autodiscovering for JDBC 2.3 by the JDBC 2.6 project by lianj lien,"m brides, j christen",opinions,"col_siv_s, col_e_siv, col_e_e, col_j, col_",0
130,declarative updates of relational databases w chen acm trans . database syst .,,,1995.0,parser from HTML to JavaScript: a text editor on the web j david robert,,,2001.0,0
131,"synchronization and recovery in a client-server storage system e panagos , a biliris vldb j. 1997",,,,compression algorithms for machine-readable datatypes sigmod conference,"s kramac , r haritsa",,𔐤,0
132,odefs : a file system interface to an object-oriented database vldb 1994,"n gehani , h jagadish , w roome",,,"query optimization for xml j mchugh , j widom",,,1989.0 galitarian,0
133,"structures for manipulating proposed updates in object-oriented databases m doherty , r hull , m rupawalla sigmod conference",,,1996.0,"the arwil , m rambelijk, rjembo","j bhaq , m qwak",,1999.0 ��,0
134,database design for incomplete relations,"m levene , g loizou",acm trans . database syst .,1999.0,database design for incomplete relations,m le,s lofanu,BuyableInstoreAndOnline,0
135,"fundamental techniques for order optimization d simmen , e shekita , t malkemus",,sigmod conference,1996.0,"basic algorithm for ordering , object-oriented databases, de nomen",,,1990.0 𠱦Col title LATIMAN CAPITAL AUTHORE 不宕,0
136,"new concurrency control algorithms for accessing and compacting b-trees v setzer , a zisman vldb",,,1994.0,new conc,,,_.0 ��,0
137,incremental computation and maintenance of temporal aggregates vldb j. 2003,"j yang , j widom",,,"estimation procedures for time series and other data (j. 1999 ), by j. juan yhong and jjon d. 2006","j yang , j widom",,2001.0,0
138,"the mirror mmdbms architecture a vries , m doorn , h blanken , p apers vldb 1999",,,,"mirror of an external database m jarke , b sarda",,,_.,0
139,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,"【 ] col Author of the new information system p pheng , j hong shū , n yong sigmod record",0
140,parametric query optimization vldb j. 1997,"y ioannidis , r ng , k shim , t sellis",,,parametric query optimization of parametric datasets 2003.8,,,ilateral,0
141,"warehousing workflow data : challenges and opportunities a bonifati , f casati , u dayal , m shan",,vldb,2001.0,"organization for the management and management of warehousing, including management and management management, data analytics ea cravarta bhichar , bhichar , m walsh , o scaleta",,,galitarian,0
142,information systems research at george mason university sigmod record 1997,"s jajodia , d barbarс , a brodsky , l kerschberg , a motro , e sibley , x wang",,,,,"vldb ,","2000.0 ���万万 ����下 ���� ���� ��� ���� , � � ���未 , � 𛤜 𛞉 𠈨",0
143,unisql/x unified relational and object-oriented database system w kim,,sigmod conference,1994.0,"unisql/x unified relational and object-oriented database system w mstrow , mthwa , mthwa",,,1994.0 BuyableInstoreAndOnline,0
144,"the araneus web-base management system g mecca , p atzeni , a masci , p merialdo , g sindoni sigmod conference 1998",,,,"araneus . master 's thesis e b. s , p b inan , t b roe",,,1998.0 𠭃,0
145,guest editorial,,,2001.0,hosted content,,,2003.0 ��,0
146,open issues in parallel query optimization sigmod record 1996,"w hasan , d florescu , p valduriez",,,open policy issue in parallel query optimization sigmod record,,,,0
147,alias : an active learning led interactive deduplication system,"s sarawagi , a bhamidipaty , a kirpal , c mouli",vldb,2002.0,"a database database service manager for a distributed database of record types. h haa, t hiral",,,oubtedly0,0
148,heterogeneous database query optimization in db2 universal datajoiner,"s venkataraman , t zhang",vldb,1998.0,"using indexes such as query string s enim , m enum , s otr , c et al",j entretel,,████████,0
149,index configuration in object-oriented databases 1994,e bertino,vldb j.,,indexing for high-dimensional data in object-oriented databases 1992,,,��Col title,0
150,icicles : self-tuning samples for approximate query answering,"v ganti , m lee , r ramakrishnan",vldb,2000.0,icicle : self-tuning samples for approximate query answering,,,ONSORED,0
151,efficient algorithms for minimizing tree pattern queries,p ramanan,sigmod conference,2002.0,efficient algorithms for minimizing tree pattern queries,a quisti,sbrull,___________________________,0
152,"banks : browsing and keyword searching in relational databases b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan vldb",,,2002.0,"access in MySQL SQL database systems n nakhe , p sudarshan",,,1994.0 ��,0
153,answering queries using views : a survey a halevy 2001,,vldb j.,,"answering queries via view view s tao , h ekkan",,,"_.colrow . tao.com , . . the INTERNATIONAL . SOCIAL",0
154,wavelet-based histograms for selectivity estimation 1998,"y matias , j vitter , m wang",sigmod conference,,a scalable and low-latency histogram database in an interactive manner,e n caulkow . t rott,log,qqa,0
155,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,editor 's notes,,,_. YEAR 2018.0 ---------------,0
156,tods reviewers,,,2003.0,data scientist journal,,,𧄰,0
157,a graphical query language for mobile information systems sigmod record,y chang,,2003.0,"a graphical query language for mobile information systems . edb , et al. , the ecliptics",,,��,0
158,"the glue-nail deductive database system : design , implementation , and evaluation m derr , s morishita , g phipps vldb j. 1994",,,,"simple dictionary algorithm as of 1988 alaydiyal , v krivokapic , a kemper , e yyong , t",,,��,0
159,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,. alexis : a text-based relational analysis,,,1995.0,0
160,editor 's notes,l liu,sigmod record,2003.0,Document managers: the future,"w muhla, r ujala , t luul",,��1.00,0
161,online association rule mining sigmod conference 1999,c hidber,,,unserialisation : the mysql relational database systems an alfelton-e,,,1993.0 ��,0
162,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000.0,disima : a distributed and interoperable image database system,,,1992.0 𐌅①㚦⚦⚦⚦⚦⚦⚦⚦�,0
163,book review column k aberer,,sigmod record,2002.0,journal journals on,,s conj record,2003.0 ��1,0
164,fibonacci : a programming language for object databases vldb j.,"a albano , g ghelli , r orsini",,1995.0,fibonacci graph search : a programming language for the fibonacci graph collection t h m e w.,"h jaltason , h samet",,________,0
165,guest editorial,,,2001.0,blog entry,,,___________________,0
166,"data grid management systems a jagatheesan , a rajasekar 2003",,sigmod conference,,"data grid management to scale from 0 to 10 in sparse data sources sevann, s sarah , kei",,,𝓚,0
167,editorial 2001,,,,editor-oriented and control of .,r eunicee,,2002.0 _.,0
168,predictive dynamic load balancing of parallel and distributed rule and query processing,"h dewan , s stolfo , m hernсndez , j hwang",sigmod conference,1994.0,predictive dynamic load balancing of simultaneous rule and query processing,"r zmier , w ronikli",sigmod conference,1994.0 ��col title,0
169,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998.0,the re-tree : an enhanced object-relational mapping system,j toivonen,,galitarian1,0
170,guest editor 's introduction,,,1998.0,"the introduction of the guest editor, by author m a valka",,,1995.0 ��,0
